0.5,0,0.333333333,0,0,0.5,0,0.333333333,0,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0,0,0.666666667,0,0,0,0,0.666666667,0,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0,0,0.333333333,0,0,0,0,0.333333333,0,0
0.5,0,0.333333333,0,0,0.5,0,0.333333333,0,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0.5,0,0.333333333,0,0,0.5,0,0.333333333,0,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0,0,0.666666667,0,0,0,0,0.666666667,0,0
0.5,0,0.666666667,0,0,0.5,0,0.666666667,0,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0,0,0.333333333,0,0,0,0,0.333333333,0,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0.5,0,0.333333333,0.5,0,0.5,0,0.333333333,0.5,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
1,0,0.666666667,0,0,1,0,0.666666667,0,0
0.5,0,0.333333333,0,0,0.5,0,0.333333333,0,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0.5,0,0.333333333,0,0,0.5,0,0.333333333,0,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0
0,0,0.333333333,0.5,0,0,0,0.333333333,0.5,0